temp,hum,pm003,pm01,pm02,pm10,tvoc
21.85,48.22,1234,5,9,9,96
18.96,44.48,917,4,6,6,496
21.95,46.85,1363,6,11,12,115
21.87,48.27,-1,-1,-1,-1,0
21.97,46.43,1456,6,13,14,109
21.96,48.15,1215,5,10,10,108
21.97,46.43,1143,5,10,11,108
22.05,48.08,1071,5,9,9,111
22.05,48.26,-1,-1,-1,-1,0
19.01,44.22,687,3,4,4,495
19.05,44.36,834,4,6,7,495
21.98,46.8,1369,6,11,12,102
22.02,48.48,1296,6,10,10,102
21.97,46.41,1262,6,11,13,101
22.09,48.45,1332,6,12,12,107
21.97,46.82,1255,5,11,11,103
22.13,48.43,1122,5,9,9,109
19.1,44.44,861,5,6,6,495
22.13,48.52,1428,7,11,11,104
21.98,47.2,1177,6,9,9,117
22.33,48.71,1314,6,10,10,99
19.22,44.38,855,5,7,7,494
22.02,47.49,-1,-1,-1,-1,0
22.01,47.49,1297,6,12,13,10
19.24,44.3,768,4,5,5,494
22.36,48.6,1236,7,12,12,0
21.98,47.44,1379,6,13,13,101
19.27,44.14,738,3,4,4,494
22.43,48.61,1168,5,9,9,106
22.02,47.5,1085,5,8,8,116
22.47,48.53,1110,5,8,9,106
19.3,44.28,816,4,6,6,493
22.5,48.56,1395,8,10,10,107
19.33,44.18,901,4,7,7,493
22.02,47.46,1404,6,11,11,104
22.61,48.35,1438,6,12,12,102
19.33,44.07,895,5,6,6,493
22.7,48.42,1451,7,13,13,2
19.36,43.92,587,3,3,3,492
22.75,48.47,1440,5,11,11,108
23.28,49.04,1351,7,12,12,62
22.35,48.08,1229,6,11,11,104
23.3,48.84,1432,7,12,12,80
19.72,43.62,708,4,5,5,486
22.35,48.02,1307,7,11,12,6
22.38,48.14,1294,6,14,15,100
23.38,49.02,1288,6,10,10,93
19.78,43.46,672,3,4,4,483
22.43,48.26,-1,-1,-1,-1,0
22.42,48.21,1213,6,10,11,0
23.4,48.9,-1,-1,-1,-1,0
19.8,43.29,783,3,4,4,479
19.82,43.24,622,3,4,4,477
23.45,49.06,1175,5,9,9,99
22.46,48.44,1330,6,12,12,118
19.87,43.11,689,3,4,4,473
23.42,49.59,1333,6,11,11,109
19.88,42.94,793,4,5,5,469
23.45,49.73,1386,7,10,10,108
22.47,48.74,-1,-1,-1,-1,0
22.46,49.1,1213,6,10,10,2
19.88,42.88,875,4,6,6,467
19.89,42.8,857,4,5,5,466
22.49,49.18,1214,6,11,13,112
19.95,42.67,686,3,4,4,464
22.49,49.14,1336,6,12,12,113
23.42,49.93,1361,6,12,12,105
23.39,50.4,1331,7,11,12,101
22.53,48.99,969,4,7,7,107
23.29,51,1090,4,7,7,102
20.07,42.39,667,4,4,4,465
22.56,49.07,977,4,9,9,109
23.29,51.72,1434,7,13,13,103
23.33,51.8,1413,6,11,11,104
20.11,42.01,650,3,4,4,458
22.57,49.17,-1,-1,-1,-1,0
20.16,41.98,892,5,6,7,457
20.18,41.97,697,2,3,3,458
23.4,51.2,1253,5,10,10,98
22.59,49.43,1266,6,11,12,111
22.62,49.32,1361,5,13,13,106
20.28,41.76,888,3,6,6,457
22.64,49.33,1242,5,12,12,105
23.38,51.47,1228,5,10,10,102
20.32,41.39,900,4,7,7,435
22.66,49.51,1375,6,14,14,105
22.69,49.58,1371,7,10,10,102
20.36,41.27,868,4,5,5,427
23.34,51.67,1296,6,9,9,104
22.67,49.58,-1,-1,-1,-1,0
20.42,41.28,1049,6,8,8,429
22.7,49.68,1343,7,12,12,96
20.42,41.26,964,5,7,7,422
23.29,52.27,1049,5,8,8,104
23.28,52.32,1255,5,12,12,110
20.5,41.17,1062,5,7,7,421
23.4,52.63,1261,6,9,9,100
22.8,49.87,1342,6,10,10,115
23.45,52.7,1278,7,11,11,102
22.8,49.95,1215,6,14,15,0
20.6,41.13,1081,6,7,8,396
23.49,52.6,1388,6,13,13,100
22.82,50.16,1345,6,12,14,98
22.82,50.2,1275,6,9,9,112
20.64,41.09,1024,4,6,6,406
23.57,52.96,1394,7,12,12,106
22.82,50.18,1332,6,11,11,110
20.66,41.1,859,4,5,5,405
22.83,50.05,1431,7,10,11,106
20.67,41.02,948,4,7,7,401
23.59,53.12,1217,5,9,9,110
20.69,41.06,1053,5,7,8,401
20.7,40.91,1150,6,8,8,388
22.83,50.46,1221,5,11,11,102
20.71,40.95,885,4,6,6,375
23.68,52.33,1391,6,12,13,100
20.74,40.88,1117,6,9,9,352
22.83,50.89,1320,6,10,10,105
23.53,52.77,1372,6,10,10,100
22.84,50.89,1346,6,11,11,103
22.83,50.89,1195,6,9,11,104
23.55,52.66,1255,7,10,10,1
22.82,50.65,1335,6,11,11,103
20.81,40.84,1035,4,7,7,345
22.83,50.17,1527,8,14,15,103
20.83,40.87,994,4,7,7,345
20.85,40.89,1341,7,10,10,347
22.77,50.59,1255,6,9,9,1
20.88,40.82,1317,5,7,7,348
22.76,50.49,1323,6,13,15,97
22.77,51.25,1424,7,11,11,115
20.93,40.67,1185,7,9,9,306
23.7,52.93,1189,6,9,9,101
22.78,51.18,1364,5,12,12,104
23.63,53.08,1386,7,11,11,108
20.97,40.51,1006,5,7,7,310
21.01,40.19,1049,5,8,8,292
23.73,53.21,1434,6,13,13,99
21.06,40.24,1172,6,9,9,286
22.7,50.64,1088,5,9,9,100
23.78,53,1206,6,9,9,99
22.7,50.62,1441,7,11,11,106
22.67,50.7,1376,7,11,11,107
23.84,52.86,1362,6,11,11,2
21.17,40.14,1111,5,8,8,3
21.18,40.09,1091,7,8,8,77
22.63,50.71,1371,6,11,12,103
23.84,52.99,1188,5,9,9,103
23.87,53.07,1425,7,11,11,105
21.18,39.95,1127,5,9,9,104
22.55,50.99,-1,-1,-1,-1,0
21.2,39.95,1227,6,9,9,102
22.55,51.05,1409,7,14,14,0
21.18,39.97,1110,6,8,8,104
23.95,53.2,1174,5,8,8,105
22.47,50.97,1499,7,13,13,99
22.39,49.21,1501,8,13,13,96
21.2,40.03,1114,6,8,8,87
24.04,53.15,-1,-1,-1,-1,0
21.2,40.1,1144,6,7,7,104
22.26,47.06,1702,8,14,14,99
23.94,53.85,1334,7,11,11,0
22.23,46.05,1487,7,13,14,96
21.25,40.2,1086,6,7,7,102
22.2,45.96,1731,8,17,17,103
22.18,45.19,-1,-1,-1,-1,0
21.26,40.28,996,4,7,7,102
24.07,53.68,1280,7,12,12,102
21.25,40.32,1076,6,7,7,99
24.14,53.38,-1,-1,-1,-1,0
21.29,40.24,1062,5,8,8,87
22.06,45.01,-1,-1,-1,-1,0
24.22,53.09,-1,-1,-1,-1,0
24.23,52.99,1190,6,11,11,0
21.33,40.22,-1,-1,-1,-1,0
24.19,53.13,1166,5,9,9,104
22.04,44.4,-1,-1,-1,-1,0
22.08,44.44,1684,9,16,17,9
21.38,40.26,1040,6,7,8,97
24.25,53.22,1362,7,11,11,8
22.11,43.86,-1,-1,-1,-1,0
22.14,43.86,1658,9,14,14,1
21.46,40.19,1060,4,7,7,101
21.5,40.14,1203,7,9,9,105
24.39,52.98,1356,7,10,11,104
21.53,40.19,964,5,6,6,109
22.26,43.67,1686,9,13,13,206
21.53,40.11,1399,7,10,10,96
22.28,44.02,1587,8,14,14,171
21.57,39.99,-1,-1,-1,-1,0
21.6,39.92,1122,6,7,7,6
21.64,39.75,1251,6,9,9,86
24.4,51.58,-1,-1,-1,-1,0
22.38,43.94,-1,-1,-1,-1,0
24.42,51.3,1182,6,11,11,0
22.4,43.98,1387,7,12,13,1
22.45,43.21,1547,7,11,11,85
21.7,39.71,1149,6,7,7,102
24.3,50.59,949,4,7,7,101
22.5,43.05,1642,9,13,13,97
21.72,39.69,1320,7,8,10,99
22.66,42.96,1434,7,11,12,112
21.77,39.73,1199,6,9,9,98
22.74,42.99,1438,6,12,12,95
24.12,49.15,1509,7,11,11,97
21.83,39.75,1056,6,7,7,97
24.01,49.11,1356,7,10,11,104
21.87,39.69,-1,-1,-1,-1,0
21.9,39.66,942,4,6,6,6
21.99,39.57,966,4,7,8,89
22.91,43.67,1404,6,13,13,98
23.83,46.52,1560,7,11,12,78
22.95,43.45,1538,7,12,13,110
22.15,39.07,1031,5,7,8,112
23.78,45.32,-1,-1,-1,-1,0
23.73,45.02,1575,8,12,12,104
22.51,38.37,-1,-1,-1,-1,0
23.67,45.04,-1,-1,-1,-1,0
22.97,43.01,1467,7,14,14,131
22.75,38,1152,5,8,8,93
23.02,37.53,919,5,7,7,101
